Filter,ITK,SITK,Remark,ToDo
HConcaveImageFilter,True,True,,False
HConvexImageFilter,True,True,,False
HMaximaImageFilter,True,True,,False
HMinimaImageFilter,True,True,,False
HalfHermitianToRealInverseFFTImageFilter,True,True,,False
HalfToFullHermitianImageFilter,True,False,,False
HardConnectedComponentImageFilter,True,False,,False
HashImageFilter,False,True,,False
HausdorffDistanceImageFilter,True,True,,False
Hessian3DToVesselnessMeasureImageFilter,True,False,,False
HessianRecursiveGaussianImageFilter,True,False,,False
HistogramMatchingImageFilter,True,True,,False
HistogramThresholdImageFilter,True,False,,False
HistogramToEntropyImageFilter,True,False,,False
HistogramToIntensityImageFilter,True,False,,False
HistogramToLogProbabilityImageFilter,True,False,,False
HistogramToProbabilityImageFilter,True,False,,False
HoughTransform2DCirclesImageFilter,True,False,,False
HoughTransform2DLinesImageFilter,True,False,,False
HuangThresholdImageFilter,True,True,,False
ImageToImageFilter,True,False,,False
ImportImageFilter,True,False,,False
InPlaceImageFilter,True,False,,False
IntensityWindowingImageFilter,True,True,,False
IntermodesThresholdImageFilter,True,True,,False
InterpolateImageFilter,True,False,,False
InverseDeconvolutionImageFilter,True,True,,False
InverseDisplacementFieldImageFilter,False,True,,False
InverseFFTImageFilter,True,True,,False
InvertDisplacementFieldImageFilter,False,True,,False
InvertIntensityImageFilter,True,True,,False
IsoContourDistanceImageFilter,True,True,,False
IsoDataThresholdImageFilter,True,True,,False
IsolatedConnectedImageFilter,True,True,,False
IsolatedWatershedImageFilter,True,True,,False
IsotropicFourthOrderLevelSetImageFilter,True,False,,False
IterativeDeconvolutionImageFilter,True,False,,False
JoinSeriesImageFilter,True,True,,False
KappaSigmaThresholdImageFilter,True,False,,False
KernelImageFilter,True,False,,False
KittlerIllingworthThresholdImageFilter,True,True,,False
LabelContourImageFilter,True,True,,False
LabelIntensityStatisticsImageFilter,False,True,,False
LabelMapContourOverlayImageFilter,True,True,,False
LabelMapMaskImageFilter,True,True,,False
LabelMapOverlayImageFilter,True,True,,False
LabelMapToBinaryImageFilter,True,True,,False
LabelMapToLabelImageFilter,True,True,,False
LabelMapToRGBImageFilter,True,True,,False
LabelOverlapMeasuresImageFilter,False,True,,False
LabelOverlayImageFilter,True,True,,False
LabelShapeKeepNObjectsImageFilter,True,False,,False
LabelShapeOpeningImageFilter,True,False,,False
LabelShapeStatisticsImageFilter,False,True,,False
LabelStatisticsImageFilter,True,True,,False
LabelStatisticsKeepNObjectsImageFilter,True,False,,False
